id,city,cases,dates
45001,Abbeville,1,3/25/20
22001,Acadia,1,3/25/20
51001,Accomack,1,3/25/20
16001,Ada,13,3/25/20
19001,Adair,1,3/25/20
29001,Adair,2,3/25/20
08001,Adams,18,3/25/20
17001,Adams,1,3/25/20
18001,Adams,1,3/25/20
28001,Adams,2,3/25/20
31001,Adams,1,3/25/20
42001,Adams,6,3/25/20
53001,Adams,1,3/25/20
50001,Addison,6,3/25/20
45003,Aiken,1,3/25/20
12001,Alachua,36,3/25/20
37001,Alamance,2,3/25/20
06001,Alameda,118,3/25/20
36001,Albany,127,3/25/20
51003,Albemarle,2,3/25/20
51510,Alexandria,6,3/25/20
19005,Allamakee,6,3/25/20
26005,Allegan,1,3/25/20
36003,Allegany,2,3/25/20
42003,Allegheny,48,3/25/20
18003,Allen,4,3/25/20
22003,Allen,2,3/25/20
06005,Amador,1,3/25/20
51009,Amherst,1,3/25/20
02020,Anchorage,13,3/25/20
21005,Anderson,2,3/25/20
45007,Anderson,15,3/25/20
47001,Anderson,1,3/25/20
23001,Androscoggin,3,3/25/20
24003,Anne Arundel,20,3/25/20
27003,Anoka,7,3/25/20
04001,Apache,4,3/25/20
08005,Arapahoe,58,3/25/20
51013,Arlington,34,3/25/20
22005,Ascension,26,3/25/20
39005,Ashland,1,3/25/20
39007,Ashtabula,3,3/25/20
22007,Assumption,1,3/25/20
48013,Atascosa,2,3/25/20
34001,Atlantic,6,3/25/20
28007,Attala,1,3/25/20
22009,Avoyelles,1,3/25/20
12003,Baker,3,3/25/20
01003,Baldwin,3,3/25/20
13009,Baldwin,2,3/25/20
24005,Baltimore,35,3/25/20
24510,Baltimore City,31,3/25/20
16005,Bannock,2,3/25/20
25001,Barnstable,30,3/25/20
13013,Barrow,1,3/25/20
26015,Barry,1,3/25/20
18005,Bartholomew,5,3/25/20
13015,Bartow,61,3/25/20
29013,Bates,1,3/25/20
12005,Bay,1,3/25/20
26017,Bay,2,3/25/20
55007,Bayfield,1,3/25/20
46005,Beadle,12,3/25/20
45013,Beaufort,21,3/25/20
22011,Beauregard,1,3/25/20
42007,Beaver,3,3/25/20
51019,Bedford,1,3/25/20
33001,Belknap,4,3/25/20
48027,Bell,16,3/25/20
39013,Belmont,2,3/25/20
50003,Bennington,4,3/25/20
05007,Benton,1,3/25/20
27009,Benton,1,3/25/20
41003,Benton,4,3/25/20
53005,Benton,9,3/25/20
34003,Bergen,609,3/25/20
45015,Berkeley,4,3/25/20
42011,Berks,14,3/25/20
25003,Berkshire,26,3/25/20
35001,Bernalillo,38,3/25/20
26021,Berrien,5,3/25/20
48029,Bexar,57,3/25/20
13021,Bibb,2,3/25/20
22013,Bienville,1,3/25/20
27011,Big Stone,1,3/25/20
16011,Bingham,2,3/25/20
19013,Black Hawk,3,3/25/20
16013,Blaine,35,3/25/20
48031,Blanco,1,3/25/20
47009,Blount,2,3/25/20
27013,Blue Earth,5,3/25/20
28011,Bolivar,4,3/25/20
46009,Bon Homme,1,3/25/20
05009,Boone,1,3/25/20
18011,Boone,3,3/25/20
29019,Boone,17,3/25/20
22015,Bossier,12,3/25/20
51023,Botetourt,1,3/25/20
08013,Boulder,39,3/25/20
20011,Bourbon,1,3/25/20
21017,Bourbon,2,3/25/20
48037,Bowie,1,3/25/20
49003,Box Elder,1,3/25/20
12007,Bradford,1,3/25/20
05011,Bradley,4,3/25/20
47011,Bradley,1,3/25/20
48039,Brazoria,16,3/25/20
48041,Brazos,12,3/25/20
21025,Breathitt,1,3/25/20
12009,Brevard,7,3/25/20
25005,Bristol,25,3/25/20
44001,Bristol,24,3/25/20
30007,Broadwater,1,3/25/20
36007,Broome,3,3/25/20
08014,Broomfield,1,3/25/20
12011,Broward,263,3/25/20
46013,Brown,1,3/25/20
48049,Brown,2,3/25/20
55009,Brown,3,3/25/20
37019,Brunswick,8,3/25/20
